activationTime,firstBillNumber,lastBillNumber,taxableBase,totalWithDiscount,discountsTotal,total,tip,tax 10%,tax 21%,card,cash,delitbee,gloriafood,glovo,justeat,shop,uber
02/02/2024,LS7078,LS7103,"492,51","742,13","199,11","543,02","2,00","48,08","2,43","119,36","53,00",,,"150,50",,"110,80","111,36"
03/02/2024,LS7104,LS7124,"403,87","689,84","245,60","444,24","0,00","40,37",,"77,64","2,80",,,"158,22",,"95,70","109,88"
04/02/2024,LI27,LS7139,"352,71","501,61","113,37","388,24","0,00","35,01","0,52","53,20","27,50",,,"151,25",,"54,60","101,69"
05/02/2024,LS7140,LS7150,"194,30","295,40","81,36","214,04","0,00","19,13","0,61","26,30",,,,"82,65",,"32,10","72,99"
07/02/2024,LS7153,LS7162,"165,08","221,99","40,40","181,59","0,00","16,51",,"91,80","8,00",,,"43,39",,"23,50","14,90"
08/02/2024,LS7163,LS7173,"194,33","269,34","55,58","213,76","0,00","19,43",,"52,70","26,40",,,"68,86",,"50,90","14,90"
09/02/2024,LI28,LS7205,"580,34","812,58","173,55","639,03","1,60","57,42","1,27","107,90","41,50",,,"129,45",,"172,60","189,18"
10/02/2024,LS7206,LS7228,"423,09","649,25","182,84","466,41","1,20","41,34","1,98","139,10","23,90",,,"49,27",,"88,80","166,54"
11/02/2024,LS7229,LS7250,"412,06","630,65","177,41","453,24","3,13","41,18","0,00","92,60","49,80",,,"74,45",,"92,73","146,79"
12/02/2024,LS7251,LS7257,"193,16","266,77","54,29","212,48","0,00","19,32","0,00","18,10",,,,"85,68",,"62,20","46,50"
14/02/2024,LS7259,LS7273,"314,51","444,25","97,49","346,76","0,00","30,69","1,56","206,70","51,10",,,"68,66",,"20,30",
15/02/2024,LS7275,LS7291,"156,70","779,74","607,38","172,36","0,00","15,66",,"22,80","38,30",,,"79,76",,"31,50",
16/02/2024,LS7292,LS7318,"499,83","687,52","135,67","551,85","1,00","48,09","3,93","238,80","52,80",,,"98,66",,"132,30","30,29"
17/02/2024,LI29,LS7335,"341,88","515,27","138,95","376,32","0,00","33,95","0,49","42,40","27,30",,,"140,13",,"54,30","112,19"
18/02/2024,LS7336,LS7356,"353,24","552,14","163,33","388,81","1,63","35,05","0,52","60,80","26,80",,,"173,02",,"35,43","94,39"
21/02/2024,LS7357,LS7371,"267,08","413,42","119,64","293,78","1,00","26,70",,"71,40","60,90",,,"60,27",,"5,95","96,26"
22/02/2024,LS7372,LS7381,"228,58","344,03","92,18","251,85","0,70","22,44","0,83","36,00","12,00",,,"139,95",,"30,80","33,80"
23/02/2024,LS7382,LS7396,"312,50","436,60","92,85","343,75","1,00","31,25",,"77,50","9,45",,,"29,90",,"22,00","205,90"
24/02/2024,LS7397,LS7419,"414,17","597,90","141,06","456,84","4,83","40,24","2,43","156,90","41,50",,,"101,96",,"35,33","125,98"
25/02/2024,LS7420,LS7444,"393,85","563,29","130,06","433,23","0,00","39,38",,"138,40","40,00",,,"79,67",,"53,00","122,16"
28/02/2024,LS7445,LS7453,"194,78","296,71","82,47","214,24","0,00","19,46",,"47,50",,,,"146,34",,,"20,40"
29/02/2024,LS7454,LS7470,"307,86","468,66","129,20","339,46","0,00","30,04","1,56","20,00","6,95",,,"161,43",,"108,40","42,68"
01/03/2024,LS7471,LS7494,"576,73","772,57","138,16","634,41","0,00","57,68",,"94,60","71,90",,,"127,02",,"181,20","159,69"
02/03/2024,LS7495,LS7519,"592,64","807,54","154,85","652,69","0,00","58,59","1,46","95,30","26,60",,,"185,71",,"273,40","71,68"
03/03/2024,LS7520,LS7538,"387,98","569,31","142,28","427,03","0,92","38,56","0,49","72,70","27,70",,,"88,26",,"155,82","83,47"
04/03/2024,LS7539,LS7545,"142,26","203,28","46,80","156,48","0,77","14,22",,"52,60","21,40",,,"50,28",,"18,97","14,00"
06/03/2024,LI30,LS7561,"316,21","426,96","79,16","347,80","0,00","31,59",,"46,00","27,40",,,"148,74",,"59,20","66,46"
07/03/2024,LS7562,LS7571,"255,62","307,59","26,40","281,19","0,00","25,57",,"23,30",,,,"74,99",,,"182,90"
08/03/2024,LI31,LS7594,"553,87","659,57","50,07","609,50","0,00","55,14","0,49","251,71","39,90",,,"172,23",,"89,30","56,36"
09/03/2024,LS7595,LS7613,"398,59","456,57","17,30","439,27","2,80","39,10","1,58","55,90","29,20",,,"77,73",,"153,50","125,74"
10/03/2024,LI32,LS7639,"470,89","545,69","27,74","517,95","1,29","47,06",,"136,92","18,20",,,"63,49",,"182,89","117,74"
11/03/2024,LS7640,LS7646,"69,89","81,29","4,16","77,13","0,00","6,75","0,49","11,90","4,30",,,"44,29",,,"16,64"
13/03/2024,LS7647,LS7652,"138,64","152,90","0,40","152,50","0,00","13,86",,"20,00","15,00",,,"39,60",,"11,90","66,00"
14/03/2024,LS7653,LS7659,"141,74","159,09","3,18","155,91","0,00","14,17",,"12,90","26,40",,,"22,89",,"81,00","12,72"
15/03/2024,LS7660,LS7676,"425,17","483,58","15,89","467,69","0,00","42,52",,"64,90","81,30",,,"102,51",,"123,30","95,68"
16/03/2024,LI33,LS7697,"467,95","528,87","14,14","514,73","0,00","46,78",,"211,20","99,20",,,"92,71",,"99,40","12,22"
17/03/2024,LS7698,LS7715,"557,54","636,29","23,00","613,29","3,70","55,75",,"294,05","72,13",,,"20,31",,"214,60","15,90"
20/03/2024,LS7716,LS7719,"82,59","98,59","7,74","90,85","0,00","8,26",,"20,00",,,,"38,95",,,"31,90"
21/03/2024,LS7720,LS7735,"315,63","365,86","18,68","347,18","0,00","31,55",,"50,80",,,,"140,38",,"139,60","16,40"
22/03/2024,LI34,LS7748,"252,33","297,50","19,65","277,85","0,00","24,96","0,56","91,80","120,75",,,,,"28,00","37,30"
23/03/2024,LI35,LS7771,"684,27","892,78","140,10","752,68","2,18","68,41",,"299,60","47,20",,,"114,58",,"121,28","172,20"
24/03/2024,LS7772,LS7790,"367,14","502,20","98,10","404,10","0,00","36,47","0,49","99,00",,,,"16,40",,"175,00","113,70"
