activationTime,firstBillNumber,lastBillNumber,taxableBase,totalWithDiscount,discountsTotal,total,tip,tax 10%,tax 21%,card,cash,delitbee,gloriafood,glovo,justeat,shop,uber
01/09/2024,LS10199,LS10231,"638,80","819,90","116,96","702,94","0,00","63,65","0,49","215,90","99,50",,"122,20","30,80","33,50",,"201,04"
02/09/2024,LS10232,LS10240,"221,61","293,30","49,52","243,78","0,00","22,17",,"11,90",,,"34,50","42,96","101,40",,"53,02"
03/09/2024,LS10241,LS10249,"160,84","211,89","34,97","176,92","0,00","16,08",,"58,00",,,"15,40","62,52","41,00",,
04/09/2024,LS10250,LS10266,"374,76","501,19","88,70","412,49","0,00","37,24","0,49","141,90",,,,"146,43","64,60",,"59,56"
05/09/2024,LS10267,LS10282,"351,19","434,60","48,00","386,60","0,00","34,80","0,61","290,10","16,70",,"40,00","25,90",,,"13,90"
06/09/2024,LI58,LS10311,"659,85","852,20","126,36","725,84","0,00","65,99",,"342,80","39,40",,,"93,62","60,50",,"189,52"
07/09/2024,LS10312,LS10343,"590,36","837,70","188,30","649,40","0,00","59,04",,"202,90","117,50",,"55,30","78,70","18,40","42,00","134,60"
08/09/2024,LS10344,LS10362,"387,97","500,50","73,74","426,76","0,00","38,79",,"110,20",,,"91,20","47,80","40,50",,"137,06"
09/09/2024,LS10363,LS10374,"260,75","339,50","52,44","287,06","0,00","25,82","0,49","14,70","15,40",,,"27,42","108,30",,"121,24"
11/09/2024,LS10375,LS10391,"277,14","495,69","190,57","305,12","0,00","27,46","0,52","29,90","26,30",,"86,20","102,02",,,"60,70"
12/09/2024,LI59,LS10399,"470,51","732,10","214,52","517,58","0,00","47,07",,"341,28","70,30",,,"72,50","33,50",,
13/09/2024,LS10400,LS10426,"657,45","808,10","83,58","724,52","0,00","64,52","2,55","467,52",,,"81,50","35,70","112,00",,"27,80"
14/09/2024,LS10427,LS10456,"527,57","678,30","97,66","580,64","0,00","52,46","0,61","206,80","33,80",,"126,50","65,10","48,50",,"99,94"
15/09/2024,LS10457,LS10480,"572,69","748,50","118,55","629,95","0,00","57,26",,"155,95","17,30",,"120,62","137,94","38,50",,"159,64"
16/09/2024,LS10481,LS10485,"79,36","127,20","38,32","88,88","0,00","6,51","3,01",,,,,"40,52",,,"48,36"
17/09/2024,LS10486,LS10490,"97,58","128,00","20,66","107,34","0,00","9,76",,,,,,"25,52","46,40",,"35,42"
18/09/2024,LS10491,LS10505,"307,59","377,90","39,30","338,60","0,00","30,52","0,49","124,40","19,20",,"42,90","30,80","107,40",,"13,90"
19/09/2024,LS10506,LS10529,"499,63","662,60","113,02","549,58","0,00","49,95",,"172,50","11,90",,"30,80","129,24","89,40",,"115,74"
20/09/2024,LS10530,LS10562,"772,05","998,00","148,10","849,90","0,00","76,63","1,22","284,72","32,20",,"156,30","122,02","62,50",,"192,16"
21/09/2024,LS10563,LS10593,"727,72","992,60","192,04","800,56","0,00","72,67","0,17","226,92","60,50",,"60,50","156,90","70,80",,"224,94"
22/09/2024,LS10594,LS10623,"592,18","899,36","247,44","651,92","0,00","58,76","0,98","70,60","52,40",,"107,30","89,63","36,80",,"295,19"
23/09/2024,LI60,LS10629,"134,85","186,59","36,32","150,27","0,00","11,73","3,69",,"17,90",,,"24,80",,,"107,57"
24/09/2024,LS10630,LS10639,"209,09","266,50","36,48","230,02","0,00","20,93",,"11,90",,,"32,80","41,50","28,00",,"115,82"
25/09/2024,LS10640,LS10654,"301,91","369,30","36,87","332,43","0,00","29,91","0,61","91,00","22,50",,"44,78","42,33","39,00",,"92,82"
26/09/2024,LS10655,LS10676,"398,99","567,09","128,20","438,89","0,00","39,90",,"80,10","47,50",,"43,20","52,60","70,50",,"144,99"
27/09/2024,LS10658,LS10708,"799,58","1.026,10","146,06","880,04","0,00","79,49","0,97","253,00","19,90",,"140,80","135,78","127,00","23,00","180,56"
28/09/2024,LS10709,LS10745,"971,09","1.221,50","152,57","1.068,93","0,00","96,38","1,46","203,02","69,20",,"305,10","53,90","239,90",,"197,81"
29/09/2024,LS10746,LS10773,"566,47","794,10","170,91","623,19","0,00","56,55","0,17","165,30","4,00",,"49,00","27,53","17,40",,"359,96"
30/09/2024,LS10774,LS10783,"209,36","309,30","79,02","230,28","0,00","20,92",,,"18,20",,,"52,60","63,50",,"95,98"
02/10/2024,LS10784,LS10797,"257,63","369,60","86,20","283,40","0,00","25,77",,"73,75",,,"57,80","49,90","28,90",,"73,05"
03/10/2024,LS10798,LS10814,"323,03","448,36","87,42","360,94","0,00","27,22","10,69","146,40","22,00",,"70,00","25,98","18,90",,"77,66"
04/10/2024,LS10815,LS10849,"937,77","1.152,46","120,93","1.031,53","0,00","93,76",,"301,20","219,72",,"82,00","112,79","179,80",,"136,02"
05/10/2024,LI61,LS10881,"710,95","952,66","170,63","782,03","0,00","71,08",,"106,90","11,90",,"124,20","115,78","231,70",,"191,55"
06/10/2024,LS10882,LS10906,"661,40","879,20","151,64","727,56","1,50","66,16",,"164,80","56,70",,"60,00","113,80","62,00",,"271,76"
08/10/2024,LS10907,LS10916,"246,80","356,00","83,70","272,30","0,00","23,92","1,58","68,60","67,20",,"33,50","30,80",,,"72,20"
09/10/2024,LS10917,LS10934,"313,62","440,20","95,21","344,99","0,00","31,37",,"64,80","18,00",,"26,50","39,13","30,50",,"166,06"
10/10/2024,LS10935,LS10957,"398,67","499,50","60,62","438,88","0,00","39,60","0,61","129,40","10,00",,"61,02","13,90","112,50","29,30","82,76"
11/10/2024,LS10958,LS10990,"828,12","1.069,90","158,97","910,93","0,00","82,81",,"266,20",,,"70,00","140,00","233,10","32,10","169,53"
12/10/2024,LS10991,LS11023,"859,42","1.175,00","228,93","946,07","0,00","85,29","1,36","238,70","15,90",,"92,30","99,20","174,90",,"325,07"
13/10/2024,LS11024,LS11050,"630,86","933,70","239,78","693,92","0,00","63,06",,"51,50",,,"26,50","225,92","115,10",,"274,90"
14/10/2024,LS11051,LS11058,"179,18","270,70","73,61","197,09","0,00","17,91",,"34,30",,,"21,85","57,94",,,"83,00"
16/10/2024,LS11060,LS11077,"363,73","537,00","136,89","400,11","0,00","36,38",,"57,41","9,60",,"98,80","147,50","30,50",,"56,30"
17/10/2024,LS11078,LS11092,"260,11","359,40","73,28","286,12","0,00","26,01",,"69,62","42,00",,"59,00","45,90","15,80",,"53,80"
18/10/2024,LS11093,LS11115,"578,94","810,60","173,77","636,83","0,00","57,89",,"220,70",,,"54,50","30,90","177,93",,"152,80"
19/10/2024,LS11116,LS11150,"766,45","1.039,00","195,92","843,08","0,00","76,63",,"210,30","100,80",,"150,52","70,40","128,03",,"183,03"
20/10/2024,LS11151,LS11184,"787,26","1.040,99","174,07","866,92","0,00","77,84","1,82","149,20","55,20",,"98,50","114,59","197,33",,"252,10"
21/10/2024,LS11185,LS11189,"93,54","133,69","30,80","102,89","0,00","9,35",,"19,40",,,,"83,49",,,
23/10/2024,LS11190,LS11203,"315,14","414,70","68,03","346,67","0,00","31,53",,"42,90","25,00",,"22,50","14,86","83,80",,"157,61"
24/10/2024,LI63,LS11219,"616,35","910,20","232,22","677,98","0,00","61,63",,"465,31","27,80",,"55,80",,"65,00",,"64,07"
25/10/2024,LI62,LS11252,"776,59","1.059,20","204,60","854,60","0,00","77,35","0,66","163,54","55,80",,"65,30","100,16","251,50",,"218,30"
26/10/2024,LS11253,LS11286,"725,75","882,40","83,80","798,60","0,00","72,35","0,50","280,80","94,20",,"136,10",,"152,70",,"134,80"
27/10/2024,LS11287,LS11309,"536,83","695,70","105,20","590,50","0,00","53,67",,"135,20","12,70",,"165,20","32,30","65,10","73,30","106,70"
28/10/2024,LS11310,LS11313,"114,48","154,70","28,00","126,70","0,00","10,73","1,49",,"19,80",,,,,,"106,90"
30/10/2024,LS11315,LS11332,"397,13","630,40","193,54","436,86","0,00","39,73",,"96,50","0,00",,"29,50","43,50","139,23",,"128,13"
31/10/2024,LS11333,LS11375,"861,00","1.281,30","333,04","948,26","2,94","85,04","2,22","190,74","41,50",,"165,50","88,73","174,30",,"290,43"
01/11/2024,LI64,LS11403,"725,67","926,70","128,47","798,23","0,00","72,56",,"101,70","41,10",,"104,50","133,83","200,40",,"216,70"
02/11/2024,LS11404,LS11431,"716,17","929,20","140,52","788,68","0,00","70,85","1,66","130,60","35,40",,"94,50","59,78","278,10",,"190,30"
03/11/2024,LS11432,LS11453,"411,65","615,80","162,71","453,09","0,00","40,92","0,52","45,20","17,40",,"89,00","51,13","32,30",,"218,06"
04/11/2024,LS11454,LS11463,"221,95","296,10","50,41","245,69","0,00","20,79","2,95","69,30",,,,"53,43","49,13",,"73,83"
05/11/2024,LS11464,LS11469,"158,13","233,50","59,57","173,93","0,00","15,80",,,,,"28,50","26,00",,,"119,43"
06/11/2024,LS11470,LS11485,"306,61","402,70","65,11","337,59","0,00","30,37","0,61","49,20","52,20",,"27,50","67,89","41,50",,"99,30"
07/11/2024,LI65,LS11497,"279,17","379,10","71,77","307,33","0,00","27,67","0,49","82,70","12,80",,"92,70","43,13","19,40",,"56,60"
08/11/2024,LS11498,LS11530,"772,30","1.024,30","173,43","850,87","10,10","76,02","2,55","186,10","24,00",,"135,70","55,23","201,70",,"258,24"
09/11/2024,LS11531,LS11560,"681,69","885,00","134,89","750,11","0,00","67,93","0,49","212,20","52,50",,"168,45","122,90","32,50",,"161,56"
10/11/2024,LS11561,LS11584,"581,91","778,50","138,08","640,42","0,00","57,92","0,59","112,73","29,80",,"91,10","149,76","82,33",,"174,70"
11/11/2024,LS11585,LS11590,"118,69","179,90","49,34","130,56","0,00","11,87",,"11,82",,,"28,50","74,44","15,80",,
12/11/2024,LS11591,LS11598,"136,67","209,80","59,45","150,35","0,00","13,68",,,"9,90",,,"66,75",,,"73,70"
13/11/2024,LS11599,LS11614,"342,97","498,20","120,73","377,47","0,00","34,11","0,39","84,60",,,,"77,10","101,00",,"114,77"
14/11/2024,LS11615,LS11632,"350,31","472,50","85,36","387,14","0,00","33,41","3,42","78,44","2,50",,"87,30","27,80","71,00",,"120,10"
15/11/2024,LS11633,LS11660,"675,72","921,60","178,02","743,58","0,00","67,34","0,52","84,80","1,50",,"117,50","74,60","244,27",,"220,91"
16/11/2024,LI66,LS11690,"854,40","1.105,60","165,77","939,83","0,00","85,43",,"212,90","56,60",,"77,50","124,80","295,33",,"172,70"
17/11/2024,LS11691,LS11713,"437,41","625,80","144,65","481,15","0,00","43,74",,"106,20",,,"81,80","57,29","90,50",,"145,36"
18/11/2024,LS11714,LS11717,"73,45","103,40","22,60","80,80","0,00","7,35",,"30,80","19,80",,,"16,90",,,"13,30"
19/11/2024,LS11718,LS11725,"164,56","193,30","11,77","181,53","0,00","16,00","0,97","31,00","35,20",,"9,90","11,83","67,60",,"26,00"
20/11/2024,LS11726,LS11736,"216,28","310,00","72,10","237,90","0,00","21,62",,"37,20",,,"112,10","73,50","15,10",,
21/11/2024,LS11737,LS11751,"363,20","518,00","116,11","401,89","0,00","34,18","4,51","57,80",,,"27,50","71,23","129,86",,"115,50"
22/11/2024,LS11752,LS11781,"693,19","949,70","186,45","763,25","0,00","68,60","1,46","133,42","33,80",,"92,80","99,40","202,23",,"201,60"
23/11/2024,LS11782,LS11811,"620,26","879,50","197,20","682,30","0,00","62,04",,"92,20","39,80",,"160,47","128,43","111,00",,"150,40"
24/11/2024,LS11812,LS11839,"613,44","916,70","241,92","674,78","0,00","61,34",,"85,00","64,20",,"95,40","173,98","90,60",,"165,60"
25/11/2024,LS11840,LS11853,"266,66","367,30","71,61","295,69","0,00","24,50","4,53","119,90","21,80",,,"58,49",,,"95,50"
26/11/2024,LS11854,LS11865,"250,44","323,50","48,03","275,47","0,00","25,03",,"23,80","19,80",,"54,00","58,57","39,50",,"79,80"
27/11/2024,LS11866,LS11883,"511,21","691,30","128,34","562,96","0,00","50,54","1,21","90,69","76,00",,"98,90","85,17","109,72",,"102,48"
28/11/2024,LS11884,LS11905,"597,91","740,40","82,71","657,69","0,00","59,78",,"96,90","39,90",,"94,20","65,96","209,10",,"151,63"
29/11/2024,LI67,LS11936,"789,01","1.159,60","290,88","868,72","0,00","78,25","1,46","96,30","35,60",,"157,50","117,70","158,99",,"302,63"
30/11/2024,LS11937,LS11963,"682,10","913,60","162,80","750,80","0,00","67,73","0,97","128,90","19,80",,"59,00","60,84","261,33",,"220,93"
01/12/2024,LI68,LS11997,"841,43","1.223,50","297,51","925,99","0,00","83,77","0,79","85,70","114,90",,"117,70","152,56","194,83",,"260,30"
02/12/2024,LS11998,LS12012,"386,12","527,90","102,50","425,40","0,00","38,07","1,21","18,40","3,50",,"58,50","59,20","127,80",,"158,00"
03/12/2024,LS12013,LS12017,"103,36","157,60","43,90","113,70","0,00","10,34",,,,,"24,50","21,77","24,60",,"42,83"
04/12/2024,LS12018,LS12038,"483,94","601,10","68,55","532,55","0,00","48,24","0,37","108,62","21,90",,"98,70","26,60","259,93",,"16,80"
05/12/2024,LS12039,LS12065,"589,83","774,80","125,48","649,32","0,00","58,52","0,97","139,30","31,40",,"152,30","14,23","114,60",,"197,49"
06/12/2024,LS12066,LS12095,"705,83","957,10","180,69","776,41","0,00","70,58",,"178,14",,,"154,20","59,74","131,30",,"253,03"
07/12/2024,LI69,LS12117,"542,46","724,00","127,29","596,71","0,00","54,25",,"19,80","9,90",,"85,22","101,76","226,63",,"153,40"
08/12/2024,LS12118,LS12135,"433,27","539,20","62,19","477,01","0,00","42,95","0,79","90,82","13,90",,"100,80","52,46","124,43",,"94,60"
09/12/2024,LS12136,LS12145,"168,86","204,70","18,65","186,05","0,00","16,58","0,61","18,20","59,92",,,"49,43",,,"58,50"
10/12/2024,LS12146,LS12154,"283,17","493,30","181,81","311,49","0,00","28,32",,,,,,"147,16","30,50",,"133,83"
11/12/2024,LS12155,LS12164,"297,27","397,50","70,51","326,99","0,00","29,72",,"16,56",,,"24,00","107,23","33,50",,"145,70"
12/12/2024,LS12165,LS12186,"477,52","603,30","77,72","525,58","0,00","47,45","0,61","58,60","6,50",,"143,35","53,90","156,70",,"106,53"
13/12/2024,LS12187,LS12230,"1.019,12","1.498,60","377,53","1.121,07","0,60","101,95",,"205,13","6,50",,"97,80","327,55","197,20",,"287,49"
14/12/2024,LI70,LS12264,"1.002,64","1.343,60","240,20","1.103,40","0,00","99,78","0,98","167,44","74,36",,"49,90","266,74","310,63",,"234,33"
15/12/2024,LS12265,LS12289,"620,16","837,50","155,32","682,18","0,00","62,02",,"128,13","31,90",,"73,30","83,73","57,13",,"307,99"
16/12/2024,LS12290,LS12295,"111,21","143,80","21,47","122,33","0,00","11,12",,,"9,90",,,"26,40","44,70",,"41,33"
17/12/2024,LS12296,LS12306,"280,15","406,55","97,02","309,53","0,00","26,78","2,60","15,10",,,"63,50","27,80","77,63",,"125,50"
18/12/2024,LS12307,LS12315,"145,87","211,90","51,43","160,47","0,00","14,60",,"54,80","34,60",,"25,50","29,44",,,"16,13"
19/12/2024,LS12316,LS12339,"543,31","702,00","104,06","597,94","0,00","54,02","0,61","94,22","59,60",,"26,80","13,90","108,03",,"295,39"
20/12/2024,LS12340,LS12369,"801,38","981,19","99,40","881,79","0,00","79,92","0,49","146,90","24,31",,"121,50","109,75","237,49",,"241,84"
21/12/2024,LS12370,LS12399,"677,48","825,80","80,27","745,53","0,00","67,44","0,61","117,60","73,10",,"236,92",,"146,33",,"171,58"
22/12/2024,LS12400,LS12423,"542,58","730,35","132,59","597,76","0,00","53,42","1,76","36,90","88,30",,"52,90","82,36","219,71",,"117,59"
23/12/2024,LS12424,LS12434,"234,52","292,85","33,07","259,78","0,00","21,82","3,44","62,20",,,"50,00","20,90","111,35",,"15,33"
26/12/2024,LS12435,LS12440,"137,08","152,60","1,80","150,80","0,00","13,72",,"64,50","6,50",,"22,50","28,80","28,50",,
27/12/2024,LI71,LS12456,"379,62","527,80","110,23","417,57","0,00","37,95",,,"16,70",,"166,95","109,76","124,16",,
28/12/2024,LS12457,LS12473,"498,65","606,30","57,78","548,52","0,00","49,87",,"120,70","13,90",,"121,60","129,40","34,50",,"128,42"
29/12/2024,LS12474,LS12490,"378,79","491,90","74,45","417,45","0,00","37,20","1,46","120,20",,,"37,40","130,35","65,00",,"64,50"
30/12/2024,LS12491,LS12501,"264,21","335,90","43,15","292,75","0,00","24,46","4,08","66,40","13,32",,"14,90","33,80","59,00",,"105,33"
31/12/2024,LS12502,LS12502,"20,24","30,60","8,34","22,26","0,00","2,02",,,,,,,,,"22,26"
01/01/2025,LS12510,LS12510,"18,07","28,40","8,52","19,88","0,00","1,81",,,,,,,,,"19,88"
02/01/2025,LS12512,LS12528,"388,43","506,80","79,54","427,26","0,00","38,83",,"45,30","66,90",,"70,20","46,80","145,36",,"52,70"
03/01/2025,LS12529,LS12554,"690,99","956,70","196,64","760,06","0,00","69,07",,"123,80","37,80",,"184,60","100,46","132,72",,"180,68"
04/01/2025,LI72,LS12586,"736,10","948,50","138,29","810,21","0,00","73,14","0,97","213,00","78,90",,"110,30","130,50","101,19",,"176,32"
05/01/2025,LS12587,LS12608,"634,38","878,20","180,12","698,08","0,00","63,21","0,49","97,30",,,"143,90","44,56","220,90",,"191,42"
06/01/2025,LS12609,LS12624,"291,93","432,00","110,89","321,11","0,00","29,18",,"55,10",,,"2,80","130,49","95,86",,"36,86"
07/01/2025,LI73,LS12637,"287,89","347,50","29,88","317,62","0,00","27,91","1,82","48,60","52,60",,"49,80","64,80","44,46",,"57,36"
08/01/2025,LS12638,LS12648,"205,73","281,40","54,84","226,56","0,00","20,34","0,49","52,90",,,"91,70","36,30","30,33",,"15,33"
09/01/2025,LS12649,LS12658,"191,60","270,09","59,34","210,75","0,00","19,15",,"59,10",,,"25,50","110,82",,,"15,33"
10/01/2025,LS12659,LS12694,"858,11","1.154,10","209,67","944,43","0,00","85,36","0,96","123,60","78,90",,"175,64","170,92","157,09",,"238,28"
11/01/2025,LS12695,LS12714,"487,57","649,10","112,77","536,33","0,00","48,76",,"159,00",,,"92,25","103,86","148,96",,"32,26"
12/01/2025,LS12715,LS12736,"541,89","736,60","140,52","596,08","0,00","54,19",,"30,20",,,"146,30","158,93","27,33",,"233,32"
13/01/2025,LS12737,LS12743,"230,32","303,40","50,05","253,35","0,00","23,03",,,,,"61,50","19,90","99,76",,"72,19"
14/01/2025,LS12745,LS12748,"0,00","21,70","21,70","0,00","0,00","0,00",,,"0,00",,,,,,
15/01/2025,LS12746,LS12768,"424,53","545,90","78,90","467,00","0,00","42,47",,"82,50","25,40",,"147,14","25,90","106,50",,"79,56"
16/01/2025,LS12769,LS12787,"302,58","453,40","119,68","333,72","0,00","29,41","1,73","40,80","54,70",,"23,50","58,60","64,86",,"91,26"
17/01/2025,LI74,LS12825,"867,75","1.186,39","231,14","955,25","0,00","86,11","1,39","155,47","42,50",,"183,10","79,25","215,19",,"279,74"
18/01/2025,LS12826,LS12857,"686,21","851,20","96,38","754,82","0,00","68,61",,"215,30","59,40",,"171,70","90,80","89,59",,"128,03"
19/01/2025,LS12858,LS12887,"696,71","877,80","111,17","766,63","0,00","69,43","0,49","52,40","95,30",,"98,60","94,59","241,92",,"183,82"
20/01/2025,LS12888,LS12896,"150,95","187,40","20,90","166,50","0,00","14,68","0,87","27,70","16,60",,,,"28,50",,"93,70"
21/01/2025,LS12897,LS12901,"69,75","83,30","6,57","76,73","0,00","6,98",,"14,60","7,80",,,,"54,33",,
22/01/2025,LS12902,LS12915,"296,02","401,30","75,68","325,62","0,00","29,60",,"9,90","15,40",,"52,50","44,63","116,09",,"87,10"
23/01/2025,LS12916,LS12931,"303,01","419,10","85,80","333,30","0,00","30,29",,"70,20","28,50",,"50,40","48,80",,,"135,40"
24/01/2025,LS12932,LS12964,"674,84","876,80","133,99","742,81","0,00","67,00","0,97","156,65","83,88",,"109,50","147,72","119,58",,"125,48"
25/01/2025,LS12965,LS12993,"696,65","905,10","138,81","766,29","0,00","69,64",,"73,50","9,90",,"277,95","131,32","154,29",,"119,33"
26/01/2025,LS12994,LS13005,"281,25","338,40","28,58","309,82","0,00","27,77","0,80","19,80","35,20",,"52,30","96,16",,,"106,36"
27/01/2025,LS13006,LS13010,"76,18","100,10","14,84","85,26","0,00","6,29","2,79","44,80",,,,"23,33","17,13",,
28/01/2025,LS13011,LS13020,"167,99","211,50","26,72","184,78","0,00","16,79",,"56,10","14,60",,"24,05","13,90","61,50",,"14,63"
29/01/2025,LS13021,LS13039,"392,22","538,50","106,19","432,31","0,00","38,40","1,69","6,40","8,40",,"62,45",,"198,55",,"156,51"
30/01/2025,LS13040,LS13053,"343,08","411,10","32,21","378,89","0,00","32,95","2,86","56,00","7,90",,"124,00",,"62,23",,"128,76"
31/01/2025,LS13054,LS13082,"645,73","777,70","67,42","710,28","0,00","64,55",,"160,60","58,60",,"168,20",,"266,05",,"56,83"
01/02/2025,LS13083,LS13099,"524,10","646,90","70,39","576,51","0,00","52,41",,"167,20","19,40",,"74,90",,"71,46",,"243,55"
02/02/2025,LS13100,LS13116,"449,64","557,90","63,28","494,62","0,00","44,98",,"112,20","76,50",,"53,10","20,00","94,63",,"138,19"
03/02/2025,LI75,LS13127,"208,76","268,90","38,94","229,96","0,00","20,59","0,61","90,50","29,10",,,,"31,50",,"78,86"
04/02/2025,LS13128,LS13129,"46,72","51,40","0,00","51,40","0,00","4,68",,,,,"16,90",,"34,50",,
05/02/2025,LS13130,LS13140,"131,24","157,20","12,84","144,36","0,00","13,12",,"47,40","15,40",,,,"65,43",,"16,13"
06/02/2025,LS13141,LS13160,"425,82","516,70","46,69","470,01","0,00","41,13","3,06","130,20","105,40",,"59,72","37,80",,,"136,89"
07/02/2025,LI81,LS13194,"871,97","1.132,00","172,33","959,67","0,00","86,73","0,97","118,60","34,50",,"219,00","91,00","147,89",,"348,68"
08/02/2025,LS13195,LS13216,"610,62","871,80","199,41","672,39","0,00","60,42","1,35","71,20","33,50",,"233,95","189,02","28,50",,"116,22"
09/02/2025,LS13217,LS13228,"259,73","352,60","66,88","285,72","0,00","25,99",,"86,50","9,90",,"27,80","72,40","17,13",,"71,99"
10/02/2025,LI76,LS13241,"304,62","367,00","31,65","335,35","0,20","30,21","0,52","134,40",,,,"46,80","79,00",,"75,35"
11/02/2025,LS13242,LS13252,"103,80","205,80","91,60","114,20","0,00","10,40",,"29,00","8,80",,"76,40",,,,
12/02/2025,LI77,LS13265,"318,66","372,00","21,47","350,53","0,00","31,87",,"17,00","20,90",,"88,00",,"105,63",,"119,00"
13/02/2025,LS13266,LS13276,"233,83","290,20","32,98","257,22","0,00","23,39",,"42,50","33,70",,"51,50","39,00",,,"90,52"
14/02/2025,LI78,LS13319,"1.073,93","1.355,45","172,98","1.182,47","0,00","106,34","2,20","376,90","102,40",,"161,52","29,55","116,63",,"395,47"
15/02/2025,LS13320,LS13342,"630,20","782,80","89,57","693,23","0,00","63,03",,"148,00","16,90",,"86,97","83,92","151,11",,"206,33"
16/02/2025,LI79,LS13356,"343,70","396,30","18,00","378,30","0,00","34,15","0,45","42,20","62,90",,"82,70","61,60","128,90",,
17/02/2025,LS13357,LS13367,"333,65","434,00","66,99","367,01","0,00","33,36",,"105,70","10,20",,,"50,90","29,63",,"170,58"
18/02/2025,LS13368,LS13368,"39,55","43,50","0,00","43,50","0,00","3,95",,,,,,,,,"43,50"
19/02/2025,LI80,LS13378,"191,47","263,40","52,46","210,94","0,00","18,86","0,61","74,90","9,90",,"19,55","27,80",,,"78,79"
20/02/2025,LS13379,LS13390,"227,86","272,19","20,91","251,28","0,00","22,20","1,22","66,80","26,40",,"26,50","44,49","29,63",,"57,46"
21/02/2025,LS13391,LS13419,"647,65","783,30","70,39","712,91","0,00","64,29","0,97","157,00","73,20",,"194,12","83,27","70,00",,"135,32"
22/02/2025,LS13420,LS13434,"278,14","321,90","15,94","305,96","1,60","27,82",,"108,10","40,05",,"35,00","32,00","32,25",,"60,16"
23/02/2025,LS13435,LS13455,"441,01","541,50","55,36","486,14","0,00","43,17","1,96","70,70","76,90",,"67,00","125,68","117,86",,"28,00"
24/02/2025,LS13456,LS13463,"180,89","216,00","17,02","198,98","0,00","18,09",,"35,50","26,80",,,"47,72",,,"88,96"
25/02/2025,LS13464,LS13471,"107,50","142,20","23,63","118,57","0,00","10,46","0,61","34,10","1,80",,"24,60","10,14","19,93",,"28,00"
26/02/2025,LS13472,LS13482,"215,79","286,50","49,14","237,36","0,00","21,57",,"57,20","28,30",,"46,10",,"26,63",,"79,13"
27/02/2025,LS13483,LS13497,"445,75","539,60","48,65","490,95","3,30","43,99","1,21","164,20","69,90",,"25,50","56,10","102,03",,"76,52"
28/02/2025,LI82,LS13532,"810,21","985,70","94,25","891,45","0,00","80,75","0,49","239,60","81,40",,"128,50","154,43","104,43",,"183,09"
01/03/2025,LS13533,LS13561,"746,74","1.061,00","238,55","822,45","0,00","73,77","1,94","82,70",,,"122,00","203,51","82,29",,"331,95"
02/03/2025,LS13562,LS13589,"669,96","887,60","150,65","736,95","1,10","66,99",,"98,20","66,60",,"116,00","88,63","54,63",,"313,99"
03/03/2025,LS13590,LS13597,"176,71","247,90","53,53","194,37","0,00","17,66",,"11,90",,,"20,70","20,28","111,09",,"30,40"
04/03/2025,LS13598,LS13606,"215,41","270,50","33,54","236,96","0,00","21,55",,"47,60","11,40",,,"24,97","55,13",,"97,86"
05/03/2025,LS13607,LS13621,"385,31","475,50","51,65","423,85","0,00","38,54",,"81,40",,,"47,55","83,88","90,13",,"120,89"
06/03/2025,LS13623,LS13631,"222,98","285,60","40,01","245,59","0,00","22,00","0,61","59,90",,,,"51,63","33,13",,"100,93"
07/03/2025,LS13632,LS13656,"649,06","775,20","61,24","713,96","0,00","64,90",,"76,80",,,"135,25","147,42","229,53",,"124,96"
08/03/2025,LS13657,LS13678,"520,44","692,10","119,06","573,04","0,00","51,51","1,09","177,80","65,90",,"94,52","103,00",,,"131,82"
09/03/2025,LS13679,LS13692,"298,67","391,79","63,25","328,54","0,00","29,87",,,"9,90",,"84,80","122,94","60,00",,"50,90"
10/03/2025,LS13693,LS13702,"233,50","306,20","48,93","257,27","0,00","22,97","0,80","2,80",,,"135,20","71,21",,,"48,06"
11/03/2025,LS13703,LS13710,"139,44","168,20","14,49","153,71","0,82","13,66","0,61","77,10","9,90",,"23,50",,,,"44,03"
12/03/2025,LS13711,LS13725,"397,43","514,60","77,44","437,16","0,00","39,73",,"118,80","55,00",,"35,50","39,58","115,98",,"72,30"
13/03/2025,LS13726,LS13733,"212,12","265,00","31,67","233,33","0,00","21,21",,"24,40","28,00",,,"44,97","105,66",,"30,30"
14/03/2025,LS13734,LS13756,"672,47","823,40","83,04","740,36","0,00","66,68","1,21","151,40","27,00",,"147,40","68,94","157,10",,"188,52"
15/03/2025,LS13757,LS13783,"654,47","834,20","114,30","719,90","0,00","65,43",,"111,30","171,95",,"163,60","79,95","87,60",,"105,50"
16/03/2025,LS13784,LS13798,"347,13","433,10","51,27","381,83","0,00","34,70",,"14,90",,,"93,30","43,84","112,00",,"117,79"
17/03/2025,LS13799,LS13805,"157,30","181,40","8,36","173,04","0,00","15,74",,,"42,60",,,"69,94","30,50",,"30,00"
18/03/2025,LS13806,LS13810,"52,94","63,30","5,07","58,23","0,00","5,29",,"16,10","1,80",,,"11,83","28,50",,
19/03/2025,LS13811,LS13830,"469,61","597,50","80,66","516,84","0,00","46,74","0,49","154,40","54,60",,"85,90","27,04","39,00",,"155,90"
20/03/2025,LS13831,LS13839,"196,41","258,80","41,30","217,50","0,00","18,31","2,78","35,00","43,30",,,"66,97",,,"72,23"
21/03/2025,LS13840,LS13859,"552,83","708,50","100,38","608,12","9,20","55,29",,"158,20","9,90",,"141,50","84,96","197,08",,"25,68"
